cash,loans_taken,loans_given,laons_paid,loand_received,time
734.85,0.00,265.15,0.00,0.00,1.00
1024.45,235.07,210.62,0.00,0.00,1.00
680.93,110.62,429.69,0.00,0.00,1.00
1000.00,0.00,0.00,0.00,0.00,1.00
729.60,0.00,270.40,0.00,0.00,1.00
459.47,0.00,646.58,0.00,106.06,2.00
520.29,382.07,850.90,42.16,31.27,2.00
599.10,339.24,857.63,26.34,143.83,2.00
327.76,0.00,672.24,0.00,0.00,2.00
689.98,135.66,553.84,0.00,108.16,2.00
532.37,100.00,901.79,0.00,334.16,3.00
820.24,501.80,850.90,119.32,288.66,3.00
699.23,339.24,977.36,93.30,430.65,3.00
787.84,217.90,672.24,0.00,242.18,3.00
578.66,261.74,980.47,32.30,329.70,3.00
459.54,100.00,1167.01,10.00,536.55,4.00
971.96,501.80,850.90,224.99,546.04,4.00
1037.50,512.41,977.36,160.26,662.71,4.00
624.57,317.90,1125.82,51.88,484.37,4.00
599.28,261.74,1080.47,94.62,512.63,4.00
735.03,173.66,1167.01,20.00,748.38,5.00
803.33,501.80,1019.14,330.65,651.33,5.00
967.41,512.41,1056.94,268.46,780.40,5.00
889.49,586.15,1299.49,113.76,716.60,5.00
611.21,470.22,1460.29,156.94,758.22,5.00
890.93,173.66,1167.01,47.54,931.81,6.00
817.40,501.80,1019.14,415.17,749.90,6.00
976.24,702.24,1237.48,359.32,870.80,6.00
1141.63,950.59,1520.95,225.70,937.70,6.00
599.18,591.69,1734.03,268.90,1010.42,6.00
936.53,277.73,1334.83,75.08,1068.71,7.00
801.91,769.62,1306.23,465.65,804.17,7.00
956.92,702.24,1237.48,466.23,958.39,7.00
1021.09,950.59,1620.95,410.61,1102.06,7.00
306.48,693.10,2223.38,388.53,1225.30,7.00
507.20,371.80,1915.54,127.39,1178.33,8.00
999.39,869.62,1306.23,535.36,971.36,8.00
959.63,702.24,1237.48,562.66,1057.52,8.00
857.61,950.59,1715.03,561.38,1183.43,8.00
392.63,693.10,2323.38,501.50,1524.42,8.00
372.82,371.80,2237.22,202.11,1440.34,9.00
1249.27,1022.27,1306.23,605.32,1138.55,9.00
889.46,702.24,1337.48,631.96,1156.66,9.00
843.51,950.59,1715.03,694.40,1302.35,9.00
567.50,693.10,2323.38,604.21,1801.99,9.00
631.61,371.80,2321.79,265.29,1846.89,10.00
1332.78,1122.27,1347.04,697.81,1255.37,10.00
953.62,746.98,1337.48,687.16,1231.29,10.00
895.59,990.42,1715.03,801.07,1421.27,10.00
638.50,784.65,2474.13,674.26,2002.23,10.00
661.79,471.80,2536.16,322.46,2048.61,11.00
954.95,1122.27,1682.59,800.30,1315.57,11.00
1089.48,861.35,1337.48,723.28,1288.90,11.00
953.48,990.42,1715.03,862.09,1540.19,11.00
486.11,784.65,2737.38,730.10,2168.93,11.00
579.72,579.72,2842.18,373.34,2215.51,12.00
1056.28,1122.27,1682.59,871.30,1487.90,12.00
1052.25,961.35,1445.40,771.16,1307.46,12.00
883.81,990.42,1815.03,901.58,1610.00,12.00
653.52,784.65,2737.38,760.16,2366.40,12.00
588.47,579.72,3043.41,426.70,2478.86,13.00
1250.60,1222.27,1682.59,923.84,1634.76,13.00
1151.80,1073.39,1445.40,823.84,1347.65,13.00
505.67,990.42,2209.71,941.06,1666.02,13.00
909.37,885.88,2737.38,781.96,2542.82,13.00
592.40,630.84,3292.63,467.19,2721.39,14.00
1276.45,1222.27,1682.59,978.13,1714.90,14.00
778.51,1213.69,1915.19,898.40,1378.41,14.00
129.68,990.42,2720.94,980.55,1840.75,14.00
992.35,885.88,2737.38,827.86,2671.70,14.00
789.26,691.68,3353.48,515.05,2966.11,15.00
959.04,1222.27,1957.84,1028.13,1722.74,15.00
769.42,1213.69,2015.19,985.55,1556.46,15.00
472.36,1468.81,3199.34,1008.59,2211.47,15.00
1096.54,985.88,2737.38,859.42,2707.45,15.00
861.40,691.68,3406.26,577.41,3153.38,16.00
1026.99,1222.27,1957.84,1078.13,1840.69,16.00
844.66,1266.47,2115.19,1051.14,1744.52,16.00
484.23,1468.81,3450.36,1137.28,2603.06,16.00
1197.90,1085.88,2737.38,893.52,2742.92,16.00
848.74,720.39,3506.26,622.86,3257.47,17.00
1596.99,1762.37,1995.89,1128.13,1958.64,17.00
907.96,1266.47,2115.19,1119.98,1876.66,17.00
748.07,1506.86,3450.36,1255.98,2947.55,17.00
699.79,1085.88,3206.18,937.62,2757.71,17.00
871.39,820.39,3606.26,666.35,3323.61,18.00
1586.17,2217.95,2314.43,1287.71,1970.36,18.00
290.07,1266.47,2733.24,1171.27,1928.11,18.00
1006.27,1651.52,3450.36,1378.94,3184.04,18.00
