cons_ID,cash,no-cash assets value,salary,dividends,spending,utility,public_utility,total utility,skill,time
0.00,1427.45,0.00,144.45,84.69,17.33,1.00,8.00,9.00,7.65,1.00
1.00,1311.53,0.00,272.50,0.00,0.00,0.00,8.00,8.00,7.79,1.00
2.00,1553.86,0.00,207.31,97.75,0.00,0.00,8.00,8.00,4.37,1.00
3.00,1359.72,0.00,156.62,0.00,0.00,0.00,8.00,8.00,6.78,1.00
4.00,1443.07,0.00,153.67,0.00,47.95,2.00,8.00,10.00,3.22,1.00
5.00,1208.45,0.00,0.00,0.00,25.94,1.00,8.00,9.00,1.26,1.00
6.00,1209.98,0.00,0.00,0.00,0.00,0.00,8.00,8.00,5.96,1.00
7.00,1046.84,0.00,200.49,0.00,27.03,1.00,8.00,9.00,7.90,1.00
8.00,983.54,0.00,148.16,0.00,48.60,2.00,8.00,10.00,2.83,1.00
9.00,1401.66,0.00,289.54,0.00,0.00,0.00,8.00,8.00,8.51,1.00
10.00,1209.97,0.00,178.81,88.24,0.00,0.00,8.00,8.00,3.67,1.00
11.00,1230.54,0.00,164.85,0.00,17.33,1.00,8.00,9.00,5.70,1.00
12.00,1389.71,0.00,0.00,0.00,0.00,0.00,8.00,8.00,2.21,1.00
13.00,1214.68,0.00,169.66,0.00,0.00,0.00,8.00,8.00,6.61,1.00
14.00,1493.24,0.00,299.55,0.00,0.00,0.00,8.00,8.00,9.85,1.00
15.00,1350.67,0.00,211.23,0.00,17.82,1.00,8.00,9.00,9.43,1.00
16.00,1366.66,0.00,184.02,0.00,30.49,1.00,8.00,9.00,8.67,1.00
17.00,1410.34,0.00,0.00,0.00,24.39,1.00,8.00,9.00,2.55,1.00
18.00,1064.72,0.00,181.24,0.00,27.03,1.00,8.00,9.00,7.85,1.00
19.00,1343.33,0.00,0.00,0.00,16.39,1.00,8.00,9.00,2.22,1.00
20.00,1080.25,0.00,0.00,0.00,0.00,0.00,8.00,8.00,2.14,1.00
21.00,1281.86,0.00,149.34,81.59,16.72,1.00,8.00,9.00,2.10,1.00
22.00,1102.00,0.00,260.52,0.00,27.57,1.00,8.00,9.00,7.33,1.00
23.00,1389.44,0.00,0.00,0.00,0.00,0.00,8.00,8.00,1.71,1.00
24.00,1247.75,0.00,227.52,0.00,29.19,1.00,8.00,9.00,6.79,1.00
25.00,1126.19,0.00,150.24,0.00,0.00,0.00,8.00,8.00,3.24,1.00
26.00,1289.45,0.00,186.01,0.00,17.68,1.00,8.00,9.00,3.82,1.00
27.00,1463.61,0.00,152.31,0.00,0.00,0.00,8.00,8.00,3.83,1.00
28.00,1256.50,0.00,0.00,7.88,23.89,1.00,8.00,9.00,3.23,1.00
29.00,1130.74,0.00,0.00,0.00,0.00,0.00,8.00,8.00,1.59,1.00
30.00,1468.10,0.00,164.44,0.00,16.45,1.00,8.00,9.00,7.87,1.00
31.00,1224.09,0.00,149.72,0.00,30.92,1.00,8.00,9.00,3.04,1.00
32.00,1369.12,0.00,152.02,0.00,24.89,1.00,8.00,9.00,2.49,1.00
33.00,1250.38,0.00,229.14,0.00,30.92,1.00,8.00,9.00,5.76,1.00
34.00,1168.18,0.00,229.59,0.00,25.88,1.00,8.00,9.00,5.53,1.00
35.00,1228.86,0.00,0.00,0.00,29.79,1.00,8.00,9.00,4.59,1.00
36.00,1233.57,0.00,0.00,0.00,16.98,1.00,8.00,9.00,4.28,1.00
37.00,1301.08,0.00,247.53,0.00,29.79,1.00,8.00,9.00,6.28,1.00
38.00,1263.30,0.00,0.00,0.00,17.13,1.00,8.00,9.00,2.70,1.00
39.00,1437.53,0.00,208.88,0.00,0.00,0.00,8.00,8.00,4.14,1.00
40.00,1225.77,0.00,0.00,0.00,0.00,0.00,8.00,8.00,4.42,1.00
41.00,1032.57,0.00,200.11,0.00,29.89,1.00,8.00,9.00,4.50,1.00
42.00,1378.06,0.00,191.42,0.00,0.00,0.00,8.00,8.00,9.26,1.00
43.00,1381.74,0.00,191.75,0.00,24.89,1.00,8.00,9.00,7.44,1.00
44.00,1190.46,0.00,285.33,0.00,0.00,0.00,8.00,8.00,8.42,1.00
45.00,1167.95,0.00,285.71,0.00,25.38,1.00,8.00,9.00,9.28,1.00
