avg_price_wtax,std_price,avg_tax,min_price,max_price,items_sold,items_offered,good_ID,time
26.13,6.67,3.41,15.74,37.11,70,70,apple,1
21.22,-1.00,0.00,14.60,44.70,0,0,art,1
14.25,2.40,1.86,12.87,20.13,8,70,pear,1
26.93,6.88,3.51,16.52,38.97,281,281,apple,2
41.76,8.21,5.45,16.06,49.17,10,10,art,2
19.18,3.61,2.50,13.51,24.56,153,299,pear,2
28.87,7.37,3.77,17.35,40.92,313,313,apple,3
45.70,5.42,5.96,17.66,51.63,7,7,art,3
17.39,1.94,2.27,14.19,20.33,100,261,pear,3
30.67,7.50,4.00,18.22,42.96,299,299,apple,4
42.45,8.83,5.54,19.43,54.21,28,28,art,4
17.13,0.76,2.23,14.90,18.08,151,292,pear,4
31.45,8.26,4.10,19.13,45.11,306,306,apple,5
44.88,9.04,5.85,21.37,56.92,29,29,art,5
15.44,0.82,2.01,13.74,16.58,186,293,pear,5
32.72,8.52,4.27,20.08,47.37,293,293,apple,6
46.88,9.42,6.12,23.51,59.76,30,30,art,6
14.80,0.56,1.93,13.19,15.65,198,288,pear,6
34.77,9.23,4.53,21.09,49.74,298,298,apple,7
47.38,11.32,6.18,25.86,62.75,30,30,art,7
14.06,0.84,1.83,11.91,15.09,222,318,pear,7
36.94,9.28,4.82,22.14,52.22,359,359,apple,8
48.63,12.80,6.34,27.91,65.89,32,32,art,8
13.90,1.10,1.81,11.44,15.78,263,263,pear,8
38.72,9.85,5.05,23.25,54.83,337,337,apple,9
51.21,13.27,6.68,29.31,69.18,33,33,art,9
14.56,1.14,1.90,12.01,16.57,228,228,pear,9
40.75,10.12,5.32,24.41,57.58,352,352,apple,10
54.22,13.21,7.07,30.77,72.64,34,34,art,10
15.33,1.18,2.00,12.62,17.40,215,215,pear,10
43.10,10.60,5.62,25.63,60.45,414,414,apple,11
55.77,13.91,7.27,32.31,76.28,34,34,art,11
16.15,1.28,2.11,13.25,18.26,237,237,pear,11
44.47,11.31,5.80,26.91,63.48,399,405,apple,12
58.08,16.02,7.58,33.93,80.09,33,33,art,12
16.91,1.25,2.21,13.91,19.18,226,226,pear,12
43.84,10.91,5.72,28.26,57.74,360,426,apple,13
59.83,16.76,7.80,35.63,84.09,37,37,art,13
17.95,1.39,2.34,14.60,20.14,175,175,pear,13
43.29,9.09,5.65,29.67,55.24,343,435,apple,14
63.60,17.28,8.30,37.41,88.30,37,37,art,14
18.72,1.26,2.44,15.33,21.14,225,225,pear,14
42.04,7.41,5.48,31.16,51.34,326,447,apple,15
66.18,18.27,8.63,39.28,92.71,38,38,art,15
19.22,1.39,2.51,16.10,22.20,229,229,pear,15
41.34,5.25,5.39,32.71,50.24,350,434,apple,16
69.45,19.11,9.06,41.24,97.35,35,35,art,16
20.47,1.59,2.67,16.91,23.31,251,251,pear,16
41.08,3.61,5.36,34.35,46.22,306,413,apple,17
73.28,20.25,9.56,43.30,102.22,35,35,art,17
21.57,1.69,2.81,17.75,24.48,291,291,pear,17
40.60,2.09,5.30,36.07,44.77,354,424,apple,18
77.19,20.96,10.07,45.47,107.33,37,37,art,18
22.74,1.78,2.97,18.64,25.70,286,286,pear,18
40.25,1.32,5.25,37.22,42.42,259,400,apple,19
82.29,20.70,10.73,47.74,112.69,43,43,art,19
23.43,1.59,3.06,19.57,25.91,244,285,pear,19
39.12,2.08,5.10,34.49,43.56,411,411,apple,20
88.41,6.24,11.53,52.52,95.43,31,54,art,20
23.43,1.10,3.06,20.55,24.95,203,278,pear,20
40.49,1.85,5.28,36.22,43.61,356,404,apple,21
75.91,11.99,9.90,55.46,90.14,66,109,art,21
22.61,1.14,2.95,20.24,24.43,217,316,pear,21
40.46,1.37,5.28,37.01,42.73,300,392,apple,22
72.40,6.85,9.44,58.23,85.11,79,106,art,22
21.95,0.89,2.86,20.27,23.47,211,281,pear,22
39.52,1.70,5.15,35.64,42.42,355,404,apple,23
72.23,1.83,9.42,63.69,75.27,43,94,art,23
21.08,1.21,2.75,17.89,22.44,212,321,pear,23
39.54,1.33,5.16,36.37,41.59,310,411,apple,24
68.06,4.09,8.88,60.74,78.21,81,81,art,24
20.00,0.62,2.61,18.79,21.28,219,313,pear,24
38.80,1.91,5.06,34.36,41.85,358,405,apple,25
70.25,3.44,9.16,63.77,78.27,79,96,art,25
19.00,1.52,2.48,16.21,20.96,255,318,pear,25
38.91,1.21,5.07,36.08,40.97,337,417,apple,26
69.21,2.80,9.03,62.39,72.76,50,89,art,26
18.66,0.77,2.43,17.02,19.85,245,333,pear,26
38.46,1.64,5.02,35.11,41.39,336,381,apple,27
63.72,3.29,8.31,56.19,68.24,60,98,art,27
17.70,1.09,2.31,15.04,18.99,242,358,pear,27
38.81,1.22,5.06,36.23,41.23,346,383,apple,28
61.08,4.55,7.97,52.58,67.75,86,101,art,28
16.84,0.99,2.20,14.42,18.10,269,334,pear,28
39.19,1.62,5.11,34.82,41.33,284,372,apple,29
60.19,2.23,7.85,55.21,63.58,52,91,art,29
16.52,0.55,2.16,15.14,17.38,249,327,pear,29
38.17,1.25,4.98,35.42,40.77,360,410,apple,30
57.84,2.96,7.54,53.00,64.57,73,73,art,30
16.08,1.07,2.10,13.24,17.56,260,284,pear,30
