candidates,positions,hired,avg_hired_salary,avg_hired_skill,salary_skill_ratio,time
100.00,90.00,70.00,212.57,6.45,32.94,1.00
100.00,60.00,43.00,178.07,7.24,24.58,2.00
96.00,90.00,36.00,152.00,5.93,25.65,3.00
92.00,90.00,31.00,169.94,6.57,25.85,4.00
93.00,90.00,33.00,152.11,5.77,26.36,5.00
92.00,90.00,39.00,137.10,5.90,23.24,6.00
91.00,90.00,35.00,140.98,6.36,22.17,7.00
80.00,90.00,20.00,141.61,5.41,26.19,8.00
78.00,90.00,22.00,147.83,6.09,24.27,9.00
79.00,90.00,39.00,111.07,5.36,20.73,10.00
71.00,90.00,31.00,93.19,4.21,22.14,11.00
61.00,90.00,17.00,127.24,5.25,24.23,12.00
61.00,90.00,21.00,125.09,5.66,22.10,13.00
74.00,90.00,29.00,124.55,5.76,21.62,14.00
69.00,90.00,29.00,138.88,5.66,24.54,15.00
65.00,90.00,29.00,153.22,6.24,24.56,16.00
75.00,90.00,50.00,119.96,5.08,23.61,17.00
65.00,90.00,45.00,131.58,5.31,24.78,18.00
58.00,90.00,47.00,141.23,5.34,26.46,19.00
62.00,90.00,51.00,147.28,5.77,25.52,20.00
61.00,90.00,47.00,153.19,5.64,27.14,21.00
56.00,90.00,42.00,157.48,5.77,27.30,22.00
60.00,90.00,34.00,144.88,5.47,26.48,23.00
62.00,90.00,40.00,130.55,5.27,24.77,24.00
67.00,90.00,42.00,151.28,6.04,25.03,25.00
66.00,90.00,35.00,158.10,5.98,26.44,26.00
63.00,90.00,33.00,143.45,5.61,25.57,27.00
73.00,90.00,40.00,133.02,5.43,24.48,28.00
75.00,90.00,37.00,127.49,5.33,23.92,29.00
63.00,90.00,18.00,106.98,4.38,24.42,30.00
